Species,tip.label,Phylum,Class,Order,Genus,hla,fsa,hla_count,fsa_count,hla_logcount,fsa_logcount
Rhynchosporium secalis,Rhynchosporium_secalis,Ascomycota,Leotiomycetes,Helotiales,Rhynchosporium,Yes,Yes,1,1,0,0
Rutstroemia sp. NJR-2017a BBW,Rutstroemia_sp._NJR-2017a_BBW,Ascomycota,Leotiomycetes,Helotiales,Rutstroemia,Yes,Yes,1,1,0,0
Rutstroemia sp. NJR-2017a WRK4,Rutstroemia_sp._NJR-2017a_WRK4,Ascomycota,Leotiomycetes,Helotiales,Rutstroemia,Yes,Yes,1,1,0,0
Sclerotinia nivalis,Sclerotinia_nivalis,Ascomycota,Leotiomycetes,Helotiales,Sclerotinia,Yes,Yes,1,1,0,0
Sclerotinia sclerotiorum 1980 UF-70,Sclerotinia_sclerotiorum_1980_UF-70,Ascomycota,Leotiomycetes,Helotiales,Sclerotinia,Yes,Yes,1,1,0,0
Stromatinia cepivora,Stromatinia_cepivora,Ascomycota,Leotiomycetes,Helotiales,Stromatinia,Yes,Yes,1,1,0,0
Venustampulla echinocandica,Venustampulla_echinocandica,Ascomycota,Leotiomycetes,Helotiales,Venustampulla,Yes,Yes,1,1,0,0
Oidiodendron maius Zn,Oidiodendron_maius_Zn,Ascomycota,Leotiomycetes,Unknown,Oidiodendron,Yes,Yes,1,1,0,0
Pseudogymnoascus sp. 03VT05,Pseudogymnoascus_sp._03VT05,Ascomycota,Leotiomycetes,Unknown,Pseudogymnoascus,Yes,Yes,1,1,0,0
Pseudogymnoascus sp. 05NY08,Pseudogymnoascus_sp._05NY08,Ascomycota,Leotiomycetes,Unknown,Pseudogymnoascus,Yes,Yes,1,1,0,0
Pseudogymnoascus sp. 24MN13,Pseudogymnoascus_sp._24MN13,Ascomycota,Leotiomycetes,Unknown,Pseudogymnoascus,Yes,Yes,1,1,0,0
Pseudogymnoascus sp. VKM F-3808,Pseudogymnoascus_sp._VKM_F-3808,Ascomycota,Leotiomycetes,Unknown,Pseudogymnoascus,Yes,Yes,1,1,0,0
Pseudogymnoascus sp. VKM F-4246,Pseudogymnoascus_sp._VKM_F-4246,Ascomycota,Leotiomycetes,Unknown,Pseudogymnoascus,Yes,Yes,1,1,0,0
Pseudogymnoascus verrucosus,Pseudogymnoascus_verrucosus,Ascomycota,Leotiomycetes,Unknown,Pseudogymnoascus,Yes,Yes,1,1,0,0
Scytalidium lignicola,Scytalidium_lignicola,Ascomycota,Leotiomycetes,Unknown,Scytalidium,Yes,Yes,1,1,0,0
Peltula sp. TS41687,Peltula_sp._TS41687,Ascomycota,Lichinomycetes,Lichinales,Peltula,Yes,Yes,1,1,0,0
Phylliscum demangeonii,Phylliscum_demangeonii,Ascomycota,Lichinomycetes,Lichinales,Phylliscum,Yes,Yes,1,1,0,0
Dactylellina haptotyla CBS 200.50,Dactylellina_haptotyla_CBS_200.50,Ascomycota,Orbiliomycetes,Orbiliales,Dactylellina,Yes,Yes,1,1,0,0
Drechslerella brochopaga,Drechslerella_brochopaga,Ascomycota,Orbiliomycetes,Orbiliales,Drechslerella,Yes,Yes,1,1,0,0
Drechslerella dactyloides,Drechslerella_dactyloides,Ascomycota,Orbiliomycetes,Orbiliales,Drechslerella,Yes,Yes,1,1,0,0
Orbilia oligospora ATCC 24927,Orbilia_oligospora_ATCC_24927,Ascomycota,Orbiliomycetes,Orbiliales,Orbilia,Yes,Yes,1,1,0,0
Choiromyces venosus 120613-1,Choiromyces_venosus_120613-1,Ascomycota,Pezizomycetes,Pezizales,Choiromyces,Yes,Yes,1,1,0,0
Peziza echinospora,Peziza_echinospora,Ascomycota,Pezizomycetes,Pezizales,Peziza,Yes,Yes,1,1,0,0
Pyronema domesticum,Pyronema_domesticum,Ascomycota,Pezizomycetes,Pezizales,Pyronema,Yes,Yes,1,1,0,0
Tuber borchii,Tuber_borchii,Ascomycota,Pezizomycetes,Pezizales,Tuber,Yes,Yes,1,1,0,0
Tuber brumale,Tuber_brumale,Ascomycota,Pezizomycetes,Pezizales,Tuber,Yes,Yes,1,1,0,0
Tuber indicum,Tuber_indicum,Ascomycota,Pezizomycetes,Pezizales,Tuber,Yes,Yes,1,1,0,0
Tuber magnatum,Tuber_magnatum,Ascomycota,Pezizomycetes,Pezizales,Tuber,Yes,Yes,1,1,0,0
Pneumocystis carinii B80,Pneumocystis_carinii_B80,Ascomycota,Pneumocystidomycetes,Pneumocystidales,Pneumocystis,Yes,Yes,1,1,0,0
Pneumocystis jirovecii RU7,Pneumocystis_jirovecii_RU7,Ascomycota,Pneumocystidomycetes,Pneumocystidales,Pneumocystis,Yes,Yes,1,1,0,0
Pneumocystis murina B123,Pneumocystis_murina_B123,Ascomycota,Pneumocystidomycetes,Pneumocystidales,Pneumocystis,Yes,Yes,1,1,0,0
Coniochaeta hoffmannii,Coniochaeta_hoffmannii,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaeta,Yes,Yes,1,1,0,0
Coniochaeta ligniaria NRRL 30616,Coniochaeta_ligniaria_NRRL_30616,Ascomycota,Sordariomycetes,Coniochaetales,Coniochaeta,Yes,Yes,1,1,0,0
Coniella lustricola,Coniella_lustricola,Ascomycota,Sordariomycetes,Diaporthales,Coniella,Yes,Yes,1,1,0,0
Valsa sordida,Valsa_sordida,Ascomycota,Sordariomycetes,Diaporthales,Valsa,Yes,Yes,1,1,0,0
Colletotrichum chlorophyti,Colletotrichum_chlorophyti,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,Yes,1,1,0,0
Colletotrichum graminicola M1.001,Colletotrichum_graminicola_M1.001,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,Yes,1,1,0,0
Colletotrichum higginsianum IMI 349063,Colletotrichum_higginsianum_IMI_349063,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,Yes,1,1,0,0
Colletotrichum nymphaeae SA-01,Colletotrichum_nymphaeae_SA-01,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,Yes,1,1,0,0
Colletotrichum orbiculare MAFF 240422,Colletotrichum_orbiculare_MAFF_240422,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,Yes,1,1,0,0
Colletotrichum orchidophilum,Colletotrichum_orchidophilum,Ascomycota,Sordariomycetes,Glomerellales,Colletotrichum,Yes,Yes,1,1,0,0
Plectosphaerella cucumerina,Plectosphaerella_cucumerina,Ascomycota,Sordariomycetes,Glomerellales,Plectosphaerella,Yes,Yes,1,1,0,0
Sodiomyces alkalinus F11,Sodiomyces_alkalinus_F11,Ascomycota,Sordariomycetes,Glomerellales,Sodiomyces,Yes,Yes,1,1,0,0
Cordyceps sp. RAO-2017,Cordyceps_sp._RAO-2017,Ascomycota,Sordariomycetes,Hypocreales,Cordyceps,Yes,Yes,1,1,0,0
Dactylonectria macrodidyma,Dactylonectria_macrodidyma,Ascomycota,Sordariomycetes,Hypocreales,Dactylonectria,Yes,Yes,1,1,0,0
Fusarium albosuccineum,Fusarium_albosuccineum,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,Yes,1,1,0,0
Fusarium beomiforme,Fusarium_beomiforme,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,Yes,1,1,0,0
Fusarium coffeatum,Fusarium_coffeatum,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,Yes,1,1,0,0
Fusarium longipes,Fusarium_longipes,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,Yes,1,1,0,0
Fusarium mangiferae,Fusarium_mangiferae,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,Yes,1,1,0,0
Fusarium proliferatum ET1,Fusarium_proliferatum_ET1,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,Yes,1,1,0,0
Fusarium pseudograminearum CS3096,Fusarium_pseudograminearum_CS3096,Ascomycota,Sordariomycetes,Hypocreales,Fusarium,Yes,Yes,1,1,0,0
Geosmithia morbida,Geosmithia_morbida,Ascomycota,Sordariomycetes,Hypocreales,Geosmithia,Yes,Yes,1,1,0,0
Hirsutella minnesotensis 3608,Hirsutella_minnesotensis_3608,Ascomycota,Sordariomycetes,Hypocreales,Hirsutella,Yes,Yes,1,1,0,0
Metarhizium acridum CQMa 102,Metarhizium_acridum_CQMa_102,Ascomycota,Sordariomycetes,Hypocreales,Metarhizium,Yes,Yes,1,1,0,0
Metarhizium album ARSEF 1941,Metarhizium_album_ARSEF_1941,Ascomycota,Sordariomycetes,Hypocreales,Metarhizium,Yes,Yes,1,1,0,0
Metarhizium rileyi RCEF 4871,Metarhizium_rileyi_RCEF_4871,Ascomycota,Sordariomycetes,Hypocreales,Metarhizium,Yes,Yes,1,1,0,0
Metarhizium robertsii ARSEF 23,Metarhizium_robertsii_ARSEF_23,Ascomycota,Sordariomycetes,Hypocreales,Metarhizium,Yes,Yes,1,1,0,0
Moelleriella libera RCEF 2490,Moelleriella_libera_RCEF_2490,Ascomycota,Sordariomycetes,Hypocreales,Moelleriella,Yes,Yes,1,1,0,0
Neonectria ditissima,Neonectria_ditissima,Ascomycota,Sordariomycetes,Hypocreales,Neonectria,Yes,Yes,1,1,0,0
Ophiocordyceps australis,Ophiocordyceps_australis,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordyceps,Yes,Yes,1,1,0,0
Ophiocordyceps unilateralis,Ophiocordyceps_unilateralis,Ascomycota,Sordariomycetes,Hypocreales,Ophiocordyceps,Yes,Yes,1,1,0,0
Pochonia chlamydosporia 170,Pochonia_chlamydosporia_170,Ascomycota,Sordariomycetes,Hypocreales,Pochonia,Yes,Yes,1,1,0,0
Sarocladium strictum,Sarocladium_strictum,Ascomycota,Sordariomycetes,Hypocreales,Sarocladium,Yes,Yes,1,1,0,0
Stachybotrys chartarum IBT 7711,Stachybotrys_chartarum_IBT_7711,Ascomycota,Sordariomycetes,Hypocreales,Stachybotrys,Yes,Yes,1,1,0,0
Stachybotrys chlorohalonata IBT 40285,Stachybotrys_chlorohalonata_IBT_40285,Ascomycota,Sordariomycetes,Hypocreales,Stachybotrys,Yes,Yes,1,1,0,0
Tolypocladium capitatum,Tolypocladium_capitatum,Ascomycota,Sordariomycetes,Hypocreales,Tolypocladium,Yes,Yes,1,1,0,0
Tolypocladium paradoxum,Tolypocladium_paradoxum,Ascomycota,Sordariomycetes,Hypocreales,Tolypocladium,Yes,Yes,1,1,0,0
Trichoderma atroviride IMI 206040,Trichoderma_atroviride_IMI_206040,Ascomycota,Sordariomycetes,Hypocreales,Trichoderma,Yes,Yes,1,1,0,0
Trichoderma gamsii,Trichoderma_gamsii,Ascomycota,Sordariomycetes,Hypocreales,Trichoderma,Yes,Yes,1,1,0,0
Trichothecium roseum,Trichothecium_roseum,Ascomycota,Sordariomycetes,Hypocreales,Trichothecium,Yes,Yes,1,1,0,0
Ustilaginoidea virens,Ustilaginoidea_virens,Ascomycota,Sordariomycetes,Hypocreales,Ustilaginoidea,Yes,Yes,1,1,0,0
Gaeumannomyces tritici R3-111a-1,Gaeumannomyces_tritici_R3-111a-1,Ascomycota,Sordariomycetes,Magnaporthales,Gaeumannomyces,Yes,Yes,1,1,0,0
Magnaporthiopsis poae ATCC 64411,Magnaporthiopsis_poae_ATCC_64411,Ascomycota,Sordariomycetes,Magnaporthales,Magnaporthiopsis,Yes,Yes,1,1,0,0
Pyricularia pennisetigena,Pyricularia_pennisetigena,Ascomycota,Sordariomycetes,Magnaporthales,Pyricularia,Yes,Yes,1,1,0,0
Scedosporium apiospermum,Scedosporium_apiospermum,Ascomycota,Sordariomycetes,Microascales,Scedosporium,Yes,Yes,1,1,0,0
Grosmannia clavigera kw1407,Grosmannia_clavigera_kw1407,Ascomycota,Sordariomycetes,Ophiostomatales,Grosmannia,Yes,Yes,1,1,0,0
Ophiostoma piceae UAMH 11346,Ophiostoma_piceae_UAMH_11346,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostoma,Yes,Yes,1,1,0,0
Sporothrix insectorum RCEF 264,Sporothrix_insectorum_RCEF_264,Ascomycota,Sordariomycetes,Ophiostomatales,Sporothrix,Yes,Yes,1,1,0,0
Sporothrix schenckii 1099-18,Sporothrix_schenckii_1099-18,Ascomycota,Sordariomycetes,Ophiostomatales,Sporothrix,Yes,Yes,1,1,0,0
Thermochaetoides thermophila DSM 1495,Thermochaetoides_thermophila_DSM_1495,Ascomycota,Sordariomycetes,Sordariales,Thermochaetoides,Yes,Yes,1,1,0,0
Thermothelomyces thermophilus ATCC 42464,Thermothelomyces_thermophilus_ATCC_42464,Ascomycota,Sordariomycetes,Sordariales,Thermothelomyces,Yes,Yes,1,1,0,0
Thermothielavioides terrestris NRRL 8126,Thermothielavioides_terrestris_NRRL_8126,Ascomycota,Sordariomycetes,Sordariales,Thermothielavioides,Yes,Yes,1,1,0,0
Annulohypoxylon stygium,Annulohypoxylon_stygium,Ascomycota,Sordariomycetes,Xylariales,Annulohypoxylon,Yes,Yes,1,1,0,0
Daldinia eschscholtzii,Daldinia_eschscholtzii,Ascomycota,Sordariomycetes,Xylariales,Daldinia,Yes,Yes,1,1,0,0
Hypoxylon sp. CI-4A,Hypoxylon_sp._CI-4A,Ascomycota,Sordariomycetes,Xylariales,Hypoxylon,Yes,Yes,1,1,0,0
Hypoxylon sp. CO27-5,Hypoxylon_sp._CO27-5,Ascomycota,Sordariomycetes,Xylariales,Hypoxylon,Yes,Yes,1,1,0,0
Hypoxylon sp. EC38,Hypoxylon_sp._EC38,Ascomycota,Sordariomycetes,Xylariales,Hypoxylon,Yes,Yes,1,1,0,0
Microdochium bolleyi,Microdochium_bolleyi,Ascomycota,Sordariomycetes,Xylariales,Microdochium,Yes,Yes,1,1,0,0
Pestalotiopsis fici W106-1,Pestalotiopsis_fici_W106-1,Ascomycota,Sordariomycetes,Xylariales,Pestalotiopsis,Yes,Yes,1,1,0,0
Pseudomassariella vexata,Pseudomassariella_vexata,Ascomycota,Sordariomycetes,Xylariales,Pseudomassariella,Yes,Yes,1,1,0,0
Rosellinia necatrix,Rosellinia_necatrix,Ascomycota,Sordariomycetes,Xylariales,Rosellinia,Yes,Yes,1,1,0,0
Ustulina deusta,Ustulina_deusta,Ascomycota,Sordariomycetes,Xylariales,Ustulina,Yes,Yes,1,1,0,0
Xylaria acuta,Xylaria_acuta,Ascomycota,Sordariomycetes,Xylariales,Xylaria,Yes,Yes,1,1,0,0
Xylaria hypoxylon,Xylaria_hypoxylon,Ascomycota,Sordariomycetes,Xylariales,Xylaria,Yes,Yes,1,1,0,0
Xylaria polymorpha,Xylaria_polymorpha,Ascomycota,Sordariomycetes,Xylariales,Xylaria,Yes,Yes,1,1,0,0
Cyclocybe aegerita,Cyclocybe_aegerita,Basidiomycota,Agaricomycetes,Agaricales,Cyclocybe,Yes,Yes,1,1,0,0
Cylindrobasidium torrendii FP15055 ss-10,Cylindrobasidium_torrendii_FP15055_ss-10,Basidiomycota,Agaricomycetes,Agaricales,Cylindrobasidium,Yes,Yes,1,1,0,0
Hypsizygus marmoreus,Hypsizygus_marmoreus,Basidiomycota,Agaricomycetes,Agaricales,Hypsizygus,Yes,Yes,1,2,0,0.693147181
Infundibulicybe gibba,Infundibulicybe_gibba,Basidiomycota,Agaricomycetes,Agaricales,Infundibulicybe,Yes,Yes,1,1,0,0
Macrolepiota fuliginosa MF-IS2,Macrolepiota_fuliginosa_MF-IS2,Basidiomycota,Agaricomycetes,Agaricales,Macrolepiota,Yes,Yes,1,1,0,0
Tricholomella constricta,Tricholomella_constricta,Basidiomycota,Agaricomycetes,Agaricales,Tricholomella,Yes,Yes,1,1,0,0
Exidia glandulosa HHB12029,Exidia_glandulosa_HHB12029,Basidiomycota,Agaricomycetes,Auriculariales,Exidia,Yes,Yes,1,1,0,0
Astraeus odoratus,Astraeus_odoratus,Basidiomycota,Agaricomycetes,Boletales,Astraeus,Yes,Yes,1,1,0,0
Boletus edulis BED1,Boletus_edulis_BED1,Basidiomycota,Agaricomycetes,Boletales,Boletus,Yes,Yes,1,1,0,0
Boletus reticuloceps,Boletus_reticuloceps,Basidiomycota,Agaricomycetes,Boletales,Boletus,Yes,Yes,1,1,0,0
Coniophora puteana RWD-64-598 SS2,Coniophora_puteana_RWD-64-598_SS2,Basidiomycota,Agaricomycetes,Boletales,Coniophora,Yes,Yes,1,1,0,0
Hydnomerulius pinastri MD-312,Hydnomerulius_pinastri_MD-312,Basidiomycota,Agaricomycetes,Boletales,Hydnomerulius,Yes,Yes,1,1,0,0
Imleria badia,Imleria_badia,Basidiomycota,Agaricomycetes,Boletales,Imleria,Yes,Yes,1,1,0,0
Paxillus ammoniavirescens,Paxillus_ammoniavirescens,Basidiomycota,Agaricomycetes,Boletales,Paxillus,Yes,Yes,1,1,0,0
Scleroderma citrinum Foug A,Scleroderma_citrinum_Foug_A,Basidiomycota,Agaricomycetes,Boletales,Scleroderma,Yes,Yes,1,1,0,0
Botryobasidium botryosum FD-172 SS1,Botryobasidium_botryosum_FD-172_SS1,Basidiomycota,Agaricomycetes,Cantharellales,Botryobasidium,Yes,Yes,1,1,0,0
Pyrrhoderma noxium,Pyrrhoderma_noxium,Basidiomycota,Agaricomycetes,Hymenochaetales,Pyrrhoderma,Yes,Yes,1,1,0,0
Abortiporus biennis,Abortiporus_biennis,Basidiomycota,Agaricomycetes,Polyporales,Abortiporus,Yes,Yes,1,1,0,0
Daedaleopsis nitida,Daedaleopsis_nitida,Basidiomycota,Agaricomycetes,Polyporales,Daedaleopsis,Yes,Yes,1,1,0,0
Dichomitus squalens LYAD-421 SS1,Dichomitus_squalens_LYAD-421_SS1,Basidiomycota,Agaricomycetes,Polyporales,Dichomitus,Yes,Yes,1,1,0,0
Epithele typhae,Epithele_typhae,Basidiomycota,Agaricomycetes,Polyporales,Epithele,Yes,Yes,1,1,0,0
Fomes fomentarius,Fomes_fomentarius,Basidiomycota,Agaricomycetes,Polyporales,Fomes,Yes,Yes,1,1,0,0
Fomitopsis betulina,Fomitopsis_betulina,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsis,Yes,Yes,1,1,0,0
Irpex lacteus,Irpex_lacteus,Basidiomycota,Agaricomycetes,Polyporales,Irpex,Yes,Yes,1,1,0,0
Irpex rosettiformis,Irpex_rosettiformis,Basidiomycota,Agaricomycetes,Polyporales,Irpex,Yes,Yes,1,1,0,0
Laetiporus sulphureus 93-53,Laetiporus_sulphureus_93-53,Basidiomycota,Agaricomycetes,Polyporales,Laetiporus,Yes,Yes,1,1,0,0
Panus rudis PR-1116 ss-1,Panus_rudis_PR-1116_ss-1,Basidiomycota,Agaricomycetes,Polyporales,Panus,Yes,Yes,1,1,0,0
Phanerochaete carnosa HHB-10118-sp,Phanerochaete_carnosa_HHB-10118-sp,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaete,Yes,Yes,1,1,0,0
Phanerochaete sordida,Phanerochaete_sordida,Basidiomycota,Agaricomycetes,Polyporales,Phanerochaete,Yes,Yes,1,1,0,0
Phlebia brevispora,Phlebia_brevispora,Basidiomycota,Agaricomycetes,Polyporales,Phlebia,Yes,Yes,1,1,0,0
Polyporus brumalis,Polyporus_brumalis,Basidiomycota,Agaricomycetes,Polyporales,Polyporus,Yes,Yes,1,1,0,0
Postia placenta MAD-698-R-SB12,Postia_placenta_MAD-698-R-SB12,Basidiomycota,Agaricomycetes,Polyporales,Postia,Yes,Yes,1,1,0,0
Sparassis crispa,Sparassis_crispa,Basidiomycota,Agaricomycetes,Polyporales,Sparassis,Yes,Yes,1,1,0,0
Trametes cingulata,Trametes_cingulata,Basidiomycota,Agaricomycetes,Polyporales,Trametes,Yes,Yes,1,1,0,0
Trametes cinnabarina,Trametes_cinnabarina,Basidiomycota,Agaricomycetes,Polyporales,Trametes,Yes,Yes,1,1,0,0
Trametes coccinea BRFM310,Trametes_coccinea_BRFM310,Basidiomycota,Agaricomycetes,Polyporales,Trametes,Yes,Yes,1,1,0,0
Trametes cubensis,Trametes_cubensis,Basidiomycota,Agaricomycetes,Polyporales,Trametes,Yes,Yes,1,1,0,0
Trametes elegans,Trametes_elegans,Basidiomycota,Agaricomycetes,Polyporales,Trametes,Yes,Yes,1,1,0,0
Trametes gibbosa,Trametes_gibbosa,Basidiomycota,Agaricomycetes,Polyporales,Trametes,Yes,Yes,1,1,0,0
Trametes maxima,Trametes_maxima,Basidiomycota,Agaricomycetes,Polyporales,Trametes,Yes,Yes,1,1,0,0
Trametes meyenii,Trametes_meyenii,Basidiomycota,Agaricomycetes,Polyporales,Trametes,Yes,Yes,1,1,0,0
Trametes versicolor FP-101664 SS1,Trametes_versicolor_FP-101664_SS1,Basidiomycota,Agaricomycetes,Polyporales,Trametes,Yes,Yes,1,1,0,0
Wolfiporia cocos MD-104 SS10,Wolfiporia_cocos_MD-104_SS10,Basidiomycota,Agaricomycetes,Polyporales,Wolfiporia,Yes,Yes,1,1,0,0
Bondarzewia mesenterica,Bondarzewia_mesenterica,Basidiomycota,Agaricomycetes,Russulales,Bondarzewia,Yes,Yes,1,1,0,0
Russula aff. rugulosa BPL654,Russula_aff._rugulosa_BPL654,Basidiomycota,Agaricomycetes,Russulales,Russula,Yes,Yes,1,1,0,0
Calocera cornea HHB12733,Calocera_cornea_HHB12733,Basidiomycota,Dacrymycetes,Dacrymycetales,Calocera,Yes,Yes,1,1,0,0
Dacryopinax primogenitus,Dacryopinax_primogenitus,Basidiomycota,Dacrymycetes,Dacrymycetales,Dacryopinax,Yes,Yes,1,1,0,0
Malassezia globosa CBS 7966,Malassezia_globosa_CBS_7966,Basidiomycota,Malasseziomycetes,Malasseziales,Malassezia,Yes,Yes,1,1,0,0
Cronartium quercuum f. sp. fusiforme G11,Cronartium_quercuum_f._sp._fusiforme_G11,Basidiomycota,Pucciniomycetes,Pucciniales,Cronartium,Yes,Yes,1,1,0,0
Melampsora americana,Melampsora_americana,Basidiomycota,Pucciniomycetes,Pucciniales,Melampsora,Yes,Yes,1,1,0,0
Cryptococcus gattii CA1280,Cryptococcus_gattii_CA1280,Basidiomycota,Tremellomycetes,Tremellales,Cryptococcus,Yes,Yes,1,1,0,0
Tremella mesenterica DSM 1558,Tremella_mesenterica_DSM_1558,Basidiomycota,Tremellomycetes,Tremellales,Tremella,Yes,Yes,1,1,0,0
Moesziomyces aphidis,Moesziomyces_aphidis,Basidiomycota,Ustilaginomycetes,Ustilaginales,Moesziomyces,Yes,Yes,1,1,0,0
Pseudozyma flocculosa PF-1,Pseudozyma_flocculosa_PF-1,Basidiomycota,Ustilaginomycetes,Ustilaginales,Pseudozyma,Yes,Yes,1,1,0,0
Ustilago maydis 521,Ustilago_maydis_521,Basidiomycota,Ustilaginomycetes,Ustilaginales,Ustilago,Yes,Yes,1,1,0,0
Ambispora leptoticha,Ambispora_leptoticha,Mucoromycota,Glomeromycetes,Archaeosporales,Ambispora,Yes,Yes,1,1,0,0
Geosiphon pyriformis,Geosiphon_pyriformis,Mucoromycota,Glomeromycetes,Archaeosporales,Geosiphon,Yes,Yes,1,1,0,0
Diversispora eburnea,Diversispora_eburnea,Mucoromycota,Glomeromycetes,Diversisporales,Diversispora,Yes,Yes,1,1,0,0
Funneliformis geosporum,Funneliformis_geosporum,Mucoromycota,Glomeromycetes,Glomerales,Funneliformis,Yes,Yes,1,2,0,0.693147181
Paraglomus brasilianum,Paraglomus_brasilianum,Mucoromycota,Glomeromycetes,Paraglomerales,Paraglomus,Yes,Yes,1,1,0,0
Paraglomus occultum,Paraglomus_occultum,Mucoromycota,Glomeromycetes,Paraglomerales,Paraglomus,Yes,Yes,1,1,0,0